SRR1554534,SRR1554535,SRR1554536,SRR1554537,SRR1554538,SRR1554539,SRR1554541,SRR1554556,SRR1554561,SRR1554566,SRR1554567,SRR1554568,geneID
0,0,1,0,0,0,0,1,1,0,0,1,AC004854.5
0,0,0,0,0,0,0,0,0,0,0,0,AC004866.1
0,0,0,0,0,0,0,0,0,0,0,0,AC004866.3
0,0,0,2,2,0,2,0,0,0,1,0,AC004870.5
0,1,1,10,24,4,15,4,3,8,11,13,AC004893.10
1,0,0,0,0,1,0,2.00678,0,0,0,0,AC004899.3
0,0,0,0,0,1,0,0,0,0,0,0,AC004911.2
0,0,0,0,0,0,0,1,0,0,0,0,AC004920.2
0,0,0,0,0,0,0,0,0,0,0,0,AC004938.5
0,0,0,0,0,0,0,0,0,0,0,0,AC004941.5
0,0,1,1,0,0,1,1,0,0,0,0,AC004945.1
38.0088,24.1096,11.4833,56.7843,63.8597,39.4187,57.4683,33.8837,37.339,61.8323,48.0332,49.6049,AC004951.5
0,1.00501,1.09374,7.85271,9.28799,1.08634,8.00169,2.08506,3.93167,6.27162,5.89433,5.50311,AC004953.1
28,26.1626,16,84,104,12,56,37,40,68,97,73.1521,AC004967.7
1.06653,6.07574,1.02873,10.4135,10.3054,3.13189,10.2925,8.07277,2.08802,11.3455,11.4904,15.4665,AC004980.10
5.44895,10.2519,0,16.12,17.8637,13.8993,6.61363,7.27564,17.7573,9.41096,14.4189,9.7231,AC004980.11
145.9562,239.4,114.0686,532.4923,416.0101,148.2786,230.47978,213.4202,196.7379,328.0756,276.71367,235.91099,AC004980.7
0,0,2,0.516844,6,0,3.76654,1,0,2,2.69697,0.604887,AC004980.8
9.19045,39.446,14.539,0,16.897,23.8152,3.67085,12.0888,24.9726,0,6.91486,0,AC004980.9
